@#squadnamecombine=GROUND PROTECTION TEAM
@#squadnamecombine=STABILIZATION TEAM

@#squadnamecombine=APEX 1-1
@#squadnamecombine=APEX 1-2
@#squadnamecombine=APEX 1-3
@#squadnamecombine=APEX 2-1
@#squadnamecombine=APEX 2-2
@#squadnamecombine=APEX 2-3
@#squadnamecombine=APEX 3-1
@#squadnamecombine=APEX 3-2
@#squadnamecombine=APEX 3-3
@#squadnamecombine=APEX 4-1
@#squadnamecombine=APEX 4-2
@#squadnamecombine=APEX 4-3
@#squadnamecombine=APEX 5-1
@#squadnamecombine=APEX 5-2
@#squadnamecombine=APEX 5-3
@#squadnamecombine=APEX 6-1
@#squadnamecombine=APEX 6-2
@#squadnamecombine=APEX 6-3
@#squadnamecombine=APEX 7-1
@#squadnamecombine=APEX 7-2
@#squadnamecombine=APEX 7-3
@#squadnamecombine=APEX 8-1
@#squadnamecombine=APEX 8-2
@#squadnamecombine=APEX 8-3
@#squadnamecombine=APEX 9-1
@#squadnamecombine=APEX 9-2
@#squadnamecombine=APEX 9-3

@#squadnamecombine=BLACK 1-1
@#squadnamecombine=BLACK 1-2
@#squadnamecombine=BLACK 1-3
@#squadnamecombine=BLACK 2-1
@#squadnamecombine=BLACK 2-2
@#squadnamecombine=BLACK 2-3
@#squadnamecombine=BLACK 3-1
@#squadnamecombine=BLACK 3-2
@#squadnamecombine=BLACK 3-3
@#squadnamecombine=BLACK 4-1
@#squadnamecombine=BLACK 4-2
@#squadnamecombine=BLACK 4-3
@#squadnamecombine=BLACK 5-1
@#squadnamecombine=BLACK 5-2
@#squadnamecombine=BLACK 5-3
@#squadnamecombine=BLACK 6-1
@#squadnamecombine=BLACK 6-2
@#squadnamecombine=BLACK 6-3
@#squadnamecombine=BLACK 7-1
@#squadnamecombine=BLACK 7-2
@#squadnamecombine=BLACK 7-3
@#squadnamecombine=BLACK 8-1
@#squadnamecombine=BLACK 8-2
@#squadnamecombine=BLACK 8-3
@#squadnamecombine=BLACK 9-1
@#squadnamecombine=BLACK 9-2
@#squadnamecombine=BLACK 9-3

@#squadnamecombine=CIPHER 1-1
@#squadnamecombine=CIPHER 1-2
@#squadnamecombine=CIPHER 1-3
@#squadnamecombine=CIPHER 2-1
@#squadnamecombine=CIPHER 2-2
@#squadnamecombine=CIPHER 2-3
@#squadnamecombine=CIPHER 3-1
@#squadnamecombine=CIPHER 3-2
@#squadnamecombine=CIPHER 3-3
@#squadnamecombine=CIPHER 4-1
@#squadnamecombine=CIPHER 4-2
@#squadnamecombine=CIPHER 4-3
@#squadnamecombine=CIPHER 5-1
@#squadnamecombine=CIPHER 5-2
@#squadnamecombine=CIPHER 5-3
@#squadnamecombine=CIPHER 6-1
@#squadnamecombine=CIPHER 6-2
@#squadnamecombine=CIPHER 6-3
@#squadnamecombine=CIPHER 7-1
@#squadnamecombine=CIPHER 7-2
@#squadnamecombine=CIPHER 7-3
@#squadnamecombine=CIPHER 8-1
@#squadnamecombine=CIPHER 8-2
@#squadnamecombine=CIPHER 8-3
@#squadnamecombine=CIPHER 9-1
@#squadnamecombine=CIPHER 9-2
@#squadnamecombine=CIPHER 9-3

@#squadnamecombine=DELTA 1-1
@#squadnamecombine=DELTA 1-2
@#squadnamecombine=DELTA 1-3
@#squadnamecombine=DELTA 2-1
@#squadnamecombine=DELTA 2-2
@#squadnamecombine=DELTA 2-3
@#squadnamecombine=DELTA 3-1
@#squadnamecombine=DELTA 3-2
@#squadnamecombine=DELTA 3-3
@#squadnamecombine=DELTA 4-1
@#squadnamecombine=DELTA 4-2
@#squadnamecombine=DELTA 4-3
@#squadnamecombine=DELTA 5-1
@#squadnamecombine=DELTA 5-2
@#squadnamecombine=DELTA 5-3
@#squadnamecombine=DELTA 6-1
@#squadnamecombine=DELTA 6-2
@#squadnamecombine=DELTA 6-3
@#squadnamecombine=DELTA 7-1
@#squadnamecombine=DELTA 7-2
@#squadnamecombine=DELTA 7-3
@#squadnamecombine=DELTA 8-1
@#squadnamecombine=DELTA 8-2
@#squadnamecombine=DELTA 8-3
@#squadnamecombine=DELTA 9-1
@#squadnamecombine=DELTA 9-2
@#squadnamecombine=DELTA 9-3

@#squadnamecombine=ECHO 1-1
@#squadnamecombine=ECHO 1-2
@#squadnamecombine=ECHO 1-3
@#squadnamecombine=ECHO 2-1
@#squadnamecombine=ECHO 2-2
@#squadnamecombine=ECHO 2-3
@#squadnamecombine=ECHO 3-1
@#squadnamecombine=ECHO 3-2
@#squadnamecombine=ECHO 3-3
@#squadnamecombine=ECHO 4-1
@#squadnamecombine=ECHO 4-2
@#squadnamecombine=ECHO 4-3
@#squadnamecombine=ECHO 5-1
@#squadnamecombine=ECHO 5-2
@#squadnamecombine=ECHO 5-3
@#squadnamecombine=ECHO 6-1
@#squadnamecombine=ECHO 6-2
@#squadnamecombine=ECHO 6-3
@#squadnamecombine=ECHO 7-1
@#squadnamecombine=ECHO 7-2
@#squadnamecombine=ECHO 7-3
@#squadnamecombine=ECHO 8-1
@#squadnamecombine=ECHO 8-2
@#squadnamecombine=ECHO 8-3
@#squadnamecombine=ECHO 9-1
@#squadnamecombine=ECHO 9-2
@#squadnamecombine=ECHO 9-3

@#squadnamecombine=FALLOUT 1-1
@#squadnamecombine=FALLOUT 1-2
@#squadnamecombine=FALLOUT 1-3
@#squadnamecombine=FALLOUT 2-1
@#squadnamecombine=FALLOUT 2-2
@#squadnamecombine=FALLOUT 2-3
@#squadnamecombine=FALLOUT 3-1
@#squadnamecombine=FALLOUT 3-2
@#squadnamecombine=FALLOUT 3-3
@#squadnamecombine=FALLOUT 4-1
@#squadnamecombine=FALLOUT 4-2
@#squadnamecombine=FALLOUT 4-3
@#squadnamecombine=FALLOUT 5-1
@#squadnamecombine=FALLOUT 5-2
@#squadnamecombine=FALLOUT 5-3
@#squadnamecombine=FALLOUT 6-1
@#squadnamecombine=FALLOUT 6-2
@#squadnamecombine=FALLOUT 6-3
@#squadnamecombine=FALLOUT 7-1
@#squadnamecombine=FALLOUT 7-2
